propensity,controls,No-shows
0.025,0,0
0.075,0.01,0
0.125,0.04,0.02
0.175,0.05,0.025
0.225,0.07,0.02
0.275,0.04,0.035
0.325,0.12,0.06
0.375,0.11,0.11
0.425,0.12,0.1
0.475,0.13,0.14
0.525,0.1,0.12
0.575,0.1,0.14
0.625,0.04,0.07
0.675,0.05,0.08
0.725,0.02,0.06
0.775,0,0.01
0.825,0,0.01
0.875,0,0
0.925,0,0
0.975,0,0
