propensity,controls,No-shows
0.025,0,0
0.075,0.02,0
0.125,0.05,0.01
0.175,0.02,0.05
0.225,0.05,0
0.275,0.02,0.06
0.325,0.08,0.01
0.375,0.19,0.07
0.425,0.09,0.12
0.475,0.04,0.08
0.525,0.2,0.05
0.575,0.01,0.2
0.625,0.1,0.01
0.675,0.06,0.18
0.725,0.04,0.07
0.775,0.02,0.06
0.825,0.01,0.02
0.875,0,0.01
0.925,0,0
0.975,0,0
